name_category;img_category;url_category;title
Хлебобулочные изделия и выпечка;bd9af0668a003c0864b1652c795c4a67.png;https://ru.sas.am/categories/%D0%A5%D0%BB%D0%B5%D0%B1%D0%BE%D0%B1%D1%83%D0%BB%D0%BE%D1%87%D0%BD%D1%8B%D0%B5_%D0%B8%D0%B7%D0%B4%D0%B5%D0%BB%D0%B8%D1%8F_%D0%B8_%D0%B2%D1%8B%D0%BF%D0%B5%D1%87%D0%BA%D0%B0_1045/;True
Хлеб;0b81f6e6c55a2e9efe122a6107550142.jpg;https://ru.sas.am/categories/%D0%A5%D0%BB%D0%B5%D0%B1_1059/;False
Белый;35c451f723cd840a4cba1cbd989a165d.jpg;https://ru.sas.am/categories/%D0%91%D0%B5%D0%BB%D1%8B%D0%B9_1064/;False
Черный, серый;4c24bd1c53cfce68f3578b4b5bf988d6.jpg;https://ru.sas.am/categories/%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D0%B9_%D1%81%D0%B5%D1%80%D1%8B%D0%B9_2751/;False
Диетический;6ce4f5bce764c2ad2a68bad5f96a123c.jpg;https://ru.sas.am/categories/%D0%94%D0%B8%D0%B5%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_1068/;False
Лаваш;d5f3e4a503a745571b4dff6c70bba14e.jpg;https://ru.sas.am/categories/%D0%9B%D0%B0%D0%B2%D0%B0%D1%88_1066/;False
Другие;45147b29d5dcef4fdac3e27e466231cd.jpg;https://ru.sas.am/categories/%D0%94%D1%80%D1%83%D0%B3%D0%B8%D0%B5_3245/;False
Выпечка;218b14bbeef8132ab0a9ffcad9ec60fc.jpg;https://ru.sas.am/categories/%D0%92%D1%8B%D0%BF%D0%B5%D1%87%D0%BA%D0%B0_1061/;False
Булочка;a120d139f7073cb7dfcdf350e96426be.jpg;https://ru.sas.am/categories/%D0%91%D1%83%D0%BB%D0%BE%D1%87%D0%BA%D0%B0_1074/;False
Слойки;798bebc96d42de0ff1489cddff953f57.jpg;https://ru.sas.am/categories/%D0%A1%D0%BB%D0%BE%D0%B9%D0%BA%D0%B8__2753/;False
Пирожок;4a64120882b923655e26162d3dc44462.jpg;https://ru.sas.am/categories/%D0%9F%D0%B8%D1%80%D0%BE%D0%B6%D0%BE%D0%BA_1076/;False
Другие;b50cdb8555e558801f619688830743ec.jpg;https://ru.sas.am/categories/%D0%94%D1%80%D1%83%D0%B3%D0%B8%D0%B5_3247/;False
Донатс;f91392cd2efaea703eece8df33acfb75.jpg;https://ru.sas.am/categories/%D0%94%D0%BE%D0%BD%D0%B0%D1%82%D1%81_3246/;False
Пирожное;8c7ccbf02de5df6b3bd050a96d88d350.png;https://ru.sas.am/categories/%D0%9F%D0%B8%D1%80%D0%BE%D0%B6%D0%BD%D0%BE%D0%B5_1060/;False
Бисквитное;cb33bb0048e440ca090e48d962285b16.jpg;https://ru.sas.am/categories/%D0%91%D0%B8%D1%81%D0%BA%D0%B2%D0%B8%D1%82%D0%BD%D0%BE%D0%B5__1069/;False
Песочное;edb6ee47ee591ecb82fd4267092b483a.jpg;https://ru.sas.am/categories/%D0%9F%D0%B5%D1%81%D0%BE%D1%87%D0%BD%D0%BE%D0%B5__1072/;False
Слоеное;c051201051fdc87c6addc6de7e14122c.jpg;https://ru.sas.am/categories/%D0%A1%D0%BB%D0%BE%D0%B5%D0%BD%D0%BE%D0%B5__1073/;False
Другие;4c106053355df74cf213b4d9a7276d9d.jpg;https://ru.sas.am/categories/%D0%94%D1%80%D1%83%D0%B3%D0%B8%D0%B5_2752/;False
Торт;3d34ca313beb4c6d3560f42fc3cc1899.png;https://ru.sas.am/categories/%D0%A2%D0%BE%D1%80%D1%82_1062/;False
Бисквитный;bc3cf7e7a0903d39ca001b7d938e1d0f.jpg;https://ru.sas.am/categories/%D0%91%D0%B8%D1%81%D0%BA%D0%B2%D0%B8%D1%82%D0%BD%D1%8B%D0%B9__1078/;False
Желе;29a4dbc69797a96892aa67644684e8e7.jpg;https://ru.sas.am/categories/%D0%96%D0%B5%D0%BB%D0%B5_2755/;False
Восточные сладости, гата;709f289f66cc2301e726c24b83133e88.jpg;https://ru.sas.am/categories/%D0%92%D0%BE%D1%81%D1%82%D0%BE%D1%87%D0%BD%D1%8B%D0%B5_%D1%81%D0%BB%D0%B0%D0%B4%D0%BE%D1%81%D1%82%D0%B8_%D0%B3%D0%B0%D1%82%D0%B0_3248/;False
Молочные продукты;f094b87485bfba4f35695a5c0da06b22.png;https://ru.sas.am/categories/%D0%9C%D0%BE%D0%BB%D0%BE%D1%87%D0%BD%D1%8B%D0%B5_%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D1%8B_1048/;True
Молоко;d6ec1da3235e0c041a886c7cf6f101ed.jpg;https://ru.sas.am/categories/%D0%9C%D0%BE%D0%BB%D0%BE%D0%BA%D0%BE_2805/;True
Масло, маргарин;2c4de304a66f19ce7b9e71d2a4daa244.jpg;https://ru.sas.am/categories/%D0%9C%D0%B0%D1%81%D0%BB%D0%BE_%D0%BC%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D0%BD_1163/;True
Сгущенное молоко;88f943de17a2429a2f10279edca15400.jpg;https://ru.sas.am/categories/%D0%A1%D0%B3%D1%83%D1%89%D0%B5%D0%BD%D0%BD%D0%BE%D0%B5_%D0%BC%D0%BE%D0%BB%D0%BE%D0%BA%D0%BE_2750/;True
Кефир;7e7eb1ae1f01952adea9fec4eb02aec0.jpg;https://ru.sas.am/categories/%D0%9A%D0%B5%D1%84%D0%B8%D1%80_2806/;True
Тан, окрошка;351ed680e26fafcd9d51e9dd237d41ee.jpg;https://ru.sas.am/categories/%D0%A2%D0%B0%D0%BD_%D0%BE%D0%BA%D1%80%D0%BE%D1%88%D0%BA%D0%B0_2807/;True
Мацони;f1f12534f39a93121e71ce06ce004672.jpg;https://ru.sas.am/categories/%D0%9C%D0%B0%D1%86%D0%BE%D0%BD%D0%B8_2808/;True
Сметана;e3a1ae401001bd7dbe8c3f91caae3290.jpg;https://ru.sas.am/categories/%D0%A1%D0%BC%D0%B5%D1%82%D0%B0%D0%BD%D0%B0_1151/;True
Творожные изделия;bce93e991a6bd3b523f236c34402dfca.jpg;https://ru.sas.am/categories/%D0%A2%D0%B2%D0%BE%D1%80%D0%BE%D0%B6%D0%BD%D1%8B%D0%B5_%D0%B8%D0%B7%D0%B4%D0%B5%D0%BB%D0%B8%D1%8F_1152/;True
Деревенские молочные продукты;fc0bbad5d316298ed6cc5f6a03761224.jpg;https://ru.sas.am/categories/%D0%94%D0%B5%D1%80%D0%B5%D0%B2%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B5_%D0%BC%D0%BE%D0%BB%D0%BE%D1%87%D0%BD%D1%8B%D0%B5_%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D1%8B_6500/;True
Йогурты, сливки;eb79363539beb46b745d115f78e176e7.jpg;https://ru.sas.am/categories/%D0%99%D0%BE%D0%B3%D1%83%D1%80%D1%82%D1%8B_%D1%81%D0%BB%D0%B8%D0%B2%D0%BA%D0%B8_1144/;True
Йогурт питьевой;2e531d3d158ca2112a06a8887d180974.jpg;https://ru.sas.am/categories/%D0%99%D0%BE%D0%B3%D1%83%D1%80%D1%82_%D0%BF%D0%B8%D1%82%D1%8C%D0%B5%D0%B2%D0%BE%D0%B9_1155/;False
Йогурт, пудинг;29fd2ed8ac075ee7c492f08076804371.jpg;https://ru.sas.am/categories/%D0%99%D0%BE%D0%B3%D1%83%D1%80%D1%82_%D0%BF%D1%83%D0%B4%D0%B8%D0%BD%D0%B3_1154/;False
Сливки, коктейль;d435ccee9d242db6ab56b2186af0306f.jpg;https://ru.sas.am/categories/%D0%A1%D0%BB%D0%B8%D0%B2%D0%BA%D0%B8_%D0%BA%D0%BE%D0%BA%D1%82%D0%B5%D0%B9%D0%BB%D1%8C_2800/;False
Другие;e18cc3af74a6e9aec23338960df8356c.jpg;https://ru.sas.am/categories/%D0%94%D1%80%D1%83%D0%B3%D0%B8%D0%B5_2801/;False
Сыр;bde98aa06021e541a158ab111e9e6094.jpg;https://ru.sas.am/categories/%D0%A1%D1%8B%D1%80_1145/;True
Армянский;6495cee061f08226660c8423ffc48a70.jpg;https://ru.sas.am/categories/%D0%90%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_2802/;False
Импортный;c6f39362827d75f092f9ede00cb29096.jpg;https://ru.sas.am/categories/%D0%98%D0%BC%D0%BF%D0%BE%D1%80%D1%82%D0%BD%D1%8B%D0%B9_2803/;False
Другие;c9f1148d7d7e8fb1dff42585bcd344d9.jpg;https://ru.sas.am/categories/%D0%94%D1%80%D1%83%D0%B3%D0%B8%D0%B5_2809/;True
Бакалея;09a36efd4b4b11ffdf044bd589a9b29e.png;https://ru.sas.am/categories/%D0%91%D0%B0%D0%BA%D0%B0%D0%BB%D0%B5%D1%8F_1046/;True
;7088d8d4ea00f30506a02398cd52e071.jpg;https://ru.sas.am/categories/%D0%9C%D0%B0%D0%BA%D0%B0%D1%80%D0%BE%D0%BD%D0%BD%D1%8B%D0%B5_%D0%B8%D0%B7%D0%B4%D0%B5%D0%BB%D0%B8%D1%8F_1082/;True
;11e525e670d4520cc4a54f9bf5d2854a.png;https://ru.sas.am/categories/%D0%9C%D0%B0%D0%BA%D0%B0%D1%80%D0%BE%D0%BD%D1%8B_1089/;False
;4d604ed8b86d31a6f6bffa4a330ce8a0.jpg;https://ru.sas.am/categories/%D0%92%D0%B5%D1%80%D0%BC%D0%B8%D1%88%D0%B5%D0%BB%D1%8C_%D0%BB%D0%B0%D0%BF%D1%88%D0%B0_2759/;False
;99068319c680f18507f11cfe2a305da2.jpg;https://ru.sas.am/categories/%D0%A1%D0%BF%D0%B0%D0%B3%D0%B5%D1%82%D1%82%D0%B8_1090/;False
;ef5f4c6d950be78e48729ede234b797d.jpg;https://ru.sas.am/categories/%D0%9B%D0%B0%D0%B7%D0%B0%D0%BD%D1%8C%D1%8F_%D0%BA%D0%B0%D0%BD%D0%BD%D0%B5%D0%BB%D0%BB%D0%BE%D0%BD%D0%B8_1091/;False
;f656de2478272acbe1c7e42e3ea9ff96.jpg;https://ru.sas.am/categories/%D0%94%D1%80%D1%83%D0%B3%D0%B8%D0%B5_2760/;False
;a12310876987e082abca59ceb835cb0a.jpg;https://ru.sas.am/categories/%D0%9A%D1%80%D1%83%D0%BF%D1%8B_1083/;True
;ffad06fe175afcd1a5cf8b1f14b9eb83.jpg;https://ru.sas.am/categories/%D0%93%D1%80%D0%B5%D1%87%D0%BA%D0%B0_1093/;False
;e6e63262bde8ec01628b9bc9ea71e7cf.jpg;https://ru.sas.am/categories/%D0%91%D1%83%D0%BB%D0%B3%D1%83%D1%80_%D0%BA%D1%80%D1%83%D0%BF%D0%B0_%D0%BF%D1%88%D0%B5%D0%BD%D0%B8%D1%87%D0%BD%D0%B0%D1%8F_2762/;False
;7da0a4f1643b9865ba95d2986a5adb72.jpg;https://ru.sas.am/categories/%D0%9C%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F_%D0%BA%D1%80%D1%83%D0%BF%D0%B0_%D0%BF%D0%BE%D0%BB%D0%B1%D0%B0_2763/;False
;993cd731af0f66735fe0d8e8886c3dfd.jpg;https://ru.sas.am/categories/%D0%94%D1%80%D1%83%D0%B3%D0%B8%D0%B5_2764/;False
;71462eda9c20a3132037e42b74ebd262.jpg;https://ru.sas.am/categories/%D0%A0%D0%B8%D1%81_1092/;True
;31b6ae2d1cf967b13e85c6d472877801.jpg;https://ru.sas.am/categories/%D0%9C%D1%83%D0%BA%D0%B0_2756/;True
;8f4a1e7cc8dbe15ecc480480e7c4682f.jpg;https://ru.sas.am/categories/%D0%9F%D1%88%D0%B5%D0%BD%D0%B8%D1%87%D0%BD%D0%B0%D1%8F_2765/;False
;5e2257729c9d0b76361896a255411aa2.jpg;https://ru.sas.am/categories/%D0%94%D1%80%D1%83%D0%B3%D0%B8%D0%B5_2766/;False
;0cc8bba61abd78e6d51f43ae118f530f.jpg;https://ru.sas.am/categories/%D0%9C%D0%B0%D1%81%D0%BB%D0%BE_1084/;True
;b6e78018763ce3f320f2a9c8f87b2eeb.jpg;https://ru.sas.am/categories/%D0%A0%D0%B0%D1%81%D1%82%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D0%B5_1097/;False
;2df20adfc5930856a1924b4b1e183d6c.jpg;https://ru.sas.am/categories/%D0%A2%D0%BE%D0%BF%D0%BB%D0%B5%D0%BD%D0%BE%D0%B5_1098/;False
;36c7ab2788adfdbbd0c7e39d70a98248.jpg;https://ru.sas.am/categories/%D0%9A%D0%B5%D1%82%D1%87%D1%83%D0%BF_%D0%BC%D0%B0%D0%B9%D0%BE%D0%BD%D0%B5%D0%B7_%D1%81%D0%BE%D1%83%D1%81_1085/;True
;1f3b6368cf2c5d8fdad49d177fa164c0.jpg;https://ru.sas.am/categories/%D0%9A%D0%B5%D1%82%D1%87%D1%83%D0%BF_1099/;False
;360ca4019738ab46fa0344a9d59817ff.jpg;https://ru.sas.am/categories/%D0%A1%D0%BE%D1%83%D1%81_1101/;False
;639736607b7b3f18cd99ff73426a96b1.jpg;https://ru.sas.am/categories/%D0%9C%D0%B0%D0%B9%D0%BE%D0%BD%D0%B5%D0%B7_1100/;False
;1afbd223f45ced5e90d91668e70335c2.jpg;https://ru.sas.am/categories/%D0%93%D0%BE%D1%80%D1%87%D0%B8%D1%86%D0%B0_%D1%85%D1%80%D0%B5%D0%BD_%D1%87%D0%B0%D0%BC%D0%B0%D0%BD_1102/;False
;b56ea1d7e341e95aa03d9b48c2a6a072.jpg;https://ru.sas.am/categories/%D0%94%D1%80%D1%83%D0%B3%D0%B8%D0%B5_2767/;False
;1b5acaf4b442d6cee9e5727bef9a2148.jpg;https://ru.sas.am/categories/%D0%91%D0%BE%D0%B1%D0%BE%D0%B2%D1%8B%D0%B5_5839/;True
;9432ac97aeedaef38b0ba7e0535649e5.jpg;https://ru.sas.am/categories/%D0%93%D0%BE%D1%80%D0%BE%D1%85_%D0%BD%D1%83%D1%82_3037/;False
;6f4ce94a2dc29818badc706ee55f4c1d.jpg;https://ru.sas.am/categories/%D0%A4%D0%B0%D1%81%D0%BE%D0%BB%D1%8C_%D1%87%D0%B5%D1%87%D0%B5%D0%B2%D0%B8%D1%86%D0%B0_3038/;False
;8a6f4d226aa7662349fcb795674e81f0.jpg;https://ru.sas.am/categories/%D0%9F%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D1%8B_%D0%B1%D1%8B%D1%81%D1%82%D1%80%D0%BE%D0%B3%D0%BE_%D0%BF%D1%80%D0%B8%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F_1086/;True
;6f6b0f93754ad6191b54049d520f7c4d.jpg;https://ru.sas.am/categories/%D0%A1%D1%83%D0%BF_%D0%B1%D1%83%D0%BB%D1%8C%D0%BE%D0%BD_1105/;False
;82ba4471437aaf5fbc07d9fbfba8ccd7.jpg;https://ru.sas.am/categories/%D0%92%D0%B5%D1%80%D0%BC%D0%B8%D1%88%D0%B5%D0%BB%D1%8C_%D0%BB%D0%B0%D0%BF%D1%88%D0%B0_2768/;False
;2914032c500e7eca8c70407ccd833d61.jpg;https://ru.sas.am/categories/%D0%9F%D1%8E%D1%80%D0%B5_2769/;False
;a45417060174a9eb6e1b0abd140b1dab.jpg;https://ru.sas.am/categories/%D0%93%D0%BE%D1%82%D0%BE%D0%B2%D1%8B%D0%B5_%D0%B7%D0%B0%D0%B2%D1%82%D1%80%D0%B0%D0%BA%D0%B8_%D1%85%D0%BB%D0%BE%D0%BF%D1%8C%D1%8F_2757/;True
;88c1b9ded2cc1a1168fdb91cddf17c75.jpg;https://ru.sas.am/categories/%D0%93%D0%BE%D1%82%D0%BE%D0%B2%D1%8B%D0%B9_%D0%B7%D0%B0%D0%B2%D1%82%D1%80%D0%B0%D0%BA_3039/;False
;0d7d2848f3fdb162edc85701824abad2.jpg;https://ru.sas.am/categories/%D0%9A%D0%B0%D1%88%D0%B0_%D0%BC%D1%8E%D1%81%D0%BB%D0%B8_2773/;False
;46f690ecafb2f8bfffd238a57f0e4b73.jpg;https://ru.sas.am/categories/%D0%A5%D0%BB%D0%BE%D0%BF%D1%8C%D1%8F_%D0%B3%D0%B5%D1%80%D0%BA%D1%83%D0%BB%D0%B5%D1%81_2771/;False
;c6cf82d19b64aea2d03b00b11672a54d.jpg;https://ru.sas.am/categories/%D0%94%D1%80%D1%83%D0%B3%D0%B8%D0%B5_3040/;False
;1093ec1e4735463c3acc79ea51907bcb.jpg;https://ru.sas.am/categories/%D0%A1%D0%B0%D1%85%D0%B0%D1%80_%D1%81%D0%BE%D0%BB%D1%8C_%D1%81%D0%BE%D0%B4%D0%B0_1087/;True
;93a9a6f2a61837193871e0c20d380b8e.jpg;https://ru.sas.am/categories/%D0%A1%D0%B0%D1%85%D0%B0%D1%80_1106/;False
;5ab6d17698d880c0b980f7ceef61b3c7.jpg;https://ru.sas.am/categories/%D0%A1%D0%BE%D0%BB%D1%8C_1107/;False
;54d1c871b4ef4e8b31293babf9129359.jpg;https://ru.sas.am/categories/%D0%A1%D0%BE%D0%B4%D0%B0_1108/;False
;ba3d2b75c5b9131964a6ac5ce4746a7c.jpg;https://ru.sas.am/categories/%D0%A3%D0%BA%D1%81%D1%83%D1%81_1103/;True
;458945623a559f9bc7c8c1517eedf8a7.jpg;https://ru.sas.am/categories/%D0%9F%D1%80%D0%B8%D0%BF%D1%80%D0%B0%D0%B2%D1%8B_3041/;True
Сладости;ca065fd606fae5fb3c06875cf04c4e04.png;https://ru.sas.am/categories/%D0%A1%D0%BB%D0%B0%D0%B4%D0%BE%D1%81%D1%82%D0%B8_3103/;True
Орехи;d062a604fba606c9e0dcece05380cbe4.jpg;https://ru.sas.am/categories/%D0%9E%D1%80%D0%B5%D1%85%D0%B8_2819/;True
Грецкий;e2552fe557ad50a1cdb0c97a86ed16c7.jpg;https://ru.sas.am/categories/%D0%93%D1%80%D0%B5%D1%86%D0%BA%D0%B8%D0%B9_2831/;False
Лесной;5e7291a44ab1a7871dc827039065bfba.jpg;https://ru.sas.am/categories/%D0%9B%D0%B5%D1%81%D0%BD%D0%BE%D0%B9_2832/;False
Индийский;67bdeea8e666f4bf2da47331d63c5e79.jpg;https://ru.sas.am/categories/%D0%98%D0%BD%D0%B4%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_2833/;False
Миндаль;009687a1a3290859ed64f1f3509dac78.jpg;https://ru.sas.am/categories/%D0%9C%D0%B8%D0%BD%D0%B4%D0%B0%D0%BB%D1%8C_2834/;False
Фисташки;19b49ef89dbb7a79b4d484d343caf036.jpg;https://ru.sas.am/categories/%D0%A4%D0%B8%D1%81%D1%82%D0%B0%D1%88%D0%BA%D0%B8_5577/;False
Ассорти;5f3c832dfaa237aface0f8dee85c3e58.jpg;https://ru.sas.am/categories/%D0%90%D1%81%D1%81%D0%BE%D1%80%D1%82%D0%B8_2835/;False
Арахис;0bb52591a7692e41b8ab97a49487604a.jpg;https://ru.sas.am/categories/%D0%90%D1%80%D0%B0%D1%85%D0%B8%D1%81_3033/;False
Другие;0f575fd1cb15d0642bb26dd1bf7351b0.jpg;https://ru.sas.am/categories/%D0%94%D1%80%D1%83%D0%B3%D0%B8%D0%B5_2836/;False
Мед;8bece1e1664cf24bce5d9cb4c79ad938.jpg;https://ru.sas.am/categories/%D0%9C%D0%B5%D0%B4_3063/;True
Армянский;03e14fd35de6b1f67b41f2cba2bd1d08.jpg;https://ru.sas.am/categories/%D0%90%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_2843/;False
Сухофрукты;ef2cc33d8599e50563ae4765c8fcb248.jpg;https://ru.sas.am/categories/%D0%A1%D1%83%D1%85%D0%BE%D1%84%D1%80%D1%83%D0%BA%D1%82%D1%8B_2820/;True
Изюм;e3a311e902e071e0cc63033f64a0c0b5.jpg;https://ru.sas.am/categories/%D0%98%D0%B7%D1%8E%D0%BC_2837/;False
Чернослив;d6ff3f77e5a79850b8999626eb0907c9.jpg;https://ru.sas.am/categories/%D0%A7%D0%B5%D1%80%D0%BD%D0%BE%D1%81%D0%BB%D0%B8%D0%B2_2838/;False
Абрикос;c7b300eca5b0a87886d9ff9c63c18b16.jpg;https://ru.sas.am/categories/%D0%90%D0%B1%D1%80%D0%B8%D0%BA%D0%BE%D1%81_2839/;False
Экзотические;a54e27dd0cb71a9d3545ad54b6d4cb2b.jpg;https://ru.sas.am/categories/%D0%AD%D0%BA%D0%B7%D0%BE%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5__2840/;False
Ассорти;ad08b6c4a51e3fd5ada92adf8483c0ad.jpg;https://ru.sas.am/categories/%D0%90%D1%81%D1%81%D0%BE%D1%80%D1%82%D0%B8_2841/;False
Суджук сладкий;75da4b2e8d077e85caf17a24158ca26e.jpg;https://ru.sas.am/categories/%D0%A1%D1%83%D0%B4%D0%B6%D1%83%D0%BA_%D1%81%D0%BB%D0%B0%D0%B4%D0%BA%D0%B8%D0%B9_2821/;False
Кислый лаваш;c953369e1c9eb5399eea8d1262f342aa.jpg;https://ru.sas.am/categories/%D0%9A%D0%B8%D1%81%D0%BB%D1%8B%D0%B9_%D0%BB%D0%B0%D0%B2%D0%B0%D1%88_2822/;False
Другие;ac905ae2b2db74124050e7a18237f012.jpg;https://ru.sas.am/categories/%D0%94%D1%80%D1%83%D0%B3%D0%B8%D0%B5_3032/;False
Кондитерские изделия;2086e5812f4c42a10b093555323d0bbe.jpg;https://ru.sas.am/categories/%D0%9A%D0%BE%D0%BD%D0%B4%D0%B8%D1%82%D0%B5%D1%80%D1%81%D0%BA%D0%B8%D0%B5_%D0%B8%D0%B7%D0%B4%D0%B5%D0%BB%D0%B8%D1%8F_1049/;True
Мармелад;d7dcf3dcedd864611457eef620fd184a.jpg;https://ru.sas.am/categories/%D0%9C%D0%B0%D1%80%D0%BC%D0%B5%D0%BB%D0%B0%D0%B4_1192/;False
Желе, пастила;578acdfcac651031975ac47c4794f6e0.jpg;https://ru.sas.am/categories/%D0%96%D0%B5%D0%BB%D0%B5_%D0%BF%D0%B0%D1%81%D1%82%D0%B8%D0%BB%D0%B0_2812/;False
Торт, рулет;77cb5576aa06814dd04920b789baa2e7.jpg;https://ru.sas.am/categories/%D0%A2%D0%BE%D1%80%D1%82_%D1%80%D1%83%D0%BB%D0%B5%D1%82_2813/;False
Вафли;2a528b3721bafb6b6377ed97ea7c6df3.jpg;https://ru.sas.am/categories/%D0%92%D0%B0%D1%84%D0%BB%D0%B8_2815/;False
Восточные сладости;e32923de21ff7eb2ad813acd3f227fb1.jpg;https://ru.sas.am/categories/%D0%92%D0%BE%D1%81%D1%82%D0%BE%D1%87%D0%BD%D1%8B%D0%B5_%D1%81%D0%BB%D0%B0%D0%B4%D0%BE%D1%81%D1%82%D0%B8_1193/;False
Кекс, круассан;ac726433624e95184158712bf6f52a8e.jpg;https://ru.sas.am/categories/%D0%9A%D0%B5%D0%BA%D1%81_%D0%BA%D1%80%D1%83%D0%B0%D1%81%D1%81%D0%B0%D0%BD_2824/;False
Десерт, бисквит;10bcf07993c8fc7acf038c487a7f9cbf.jpg;https://ru.sas.am/categories/%D0%94%D0%B5%D1%81%D0%B5%D1%80%D1%82_%D0%B1%D0%B8%D1%81%D0%BA%D0%B2%D0%B8%D1%82_3029/;False
Печенье, пряник;1bf8d9fa53c256a56cbcdbfebbf09dc6.jpg;https://ru.sas.am/categories/%D0%9F%D0%B5%D1%87%D0%B5%D0%BD%D1%8C%D0%B5_%D0%BF%D1%80%D1%8F%D0%BD%D0%B8%D0%BA_2814/;False
